{'短评内容': '态度差', '短评打分': 1}
{'短评内容': '卫生比较差，地毯脏极了，卫生间也不不太干净。早餐极差，不如没有。挂四星的标，实际上连三星都达不到。大堂还可以，位置也不错，离火车站较近。', '短评打分': 1}
{'短评内容': '酒店离南昌站很近，交通很方便。酒店外表有点老，所订的豪华房价格不高，但房型有点偏小。但卫生和服务还可以，而且还提供双早。要是能提供液晶电脑能上网就好了。', '短评打分': 5}
{'短评内容': '一进房间，地板上有用过的拖鞋，烟头、疑似老鼠屎、爬动的小蟑螂；杯子是用过的，网速极慢；反映给酒店，回复约：昨天客人退房晚，没来的急打扫好！暴汗！！！', '短评打分': 1}
{'短评内容': '酒店的性价比差！下次不能住了.....根本就没人气啊，管理差', '短评打分': 1}
{'短评内容': '酒店地处火车站附近，交通方便，且房间干净、安全。酒店服务不错，只是进餐环境一般。', '短评打分': 5}
{'短评内容': '位置还行！服务态度不好，服务员的服务不到位！不想推荐了！', '短评打分': 1}
{'短评内容': '酒店没收到订单但有空房已入住，房间一般', '短评打分': 3}
{'短评内容': '这个酒店位置很好！交通方便！环境也很好！服务态度一般！不过值得入住！', '短评打分': 5}
{'短评内容': '还不错！值得入住!位置很好！很干净!服务态度也不错！总之还不错', '短评打分': 5}
{'短评内容': '比以前的价格贵了很多，设施也陈旧了，希望按4星级标准配备设施就好了', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '早餐可能由于过年的原因种类偏少，其他各方面都不错。', '短评打分': 5}
{'短评内容': '还可以,大床288元一天,价格有点高,设施有点旧', '短评打分': 3}
{'短评内容': '非常差的一间酒店,屋子里面好象刚装修完,味很大,早餐一般', '短评打分': 1}
{'短评内容': '看是四星级的就去了，到那儿一看，根本是连三星级都比不上，走廊和房间都有一股难闻的气味，房间也很小，特别是早餐，感觉跟跟团吃的早餐差不多，以后再也不会去了。。。。', '短评打分': 1}
{'短评内容': '酒店不错，地理位置好，干净。下会去还住那。', '短评打分': 3}
{'短评内容': '是市政府的接待宾馆，条件都还好。干净整洁价格适中。处在市中心离火车站步行15分钟左右，离汽车站步行15分钟左右。很方便。\r\n', '短评打分': 5}
{'短评内容': '酒店位置不错，但早餐实在太差，服务也有待提高，真的很难想象这是四星级', '短评打分': 3}
{'短评内容': '酒店位置对我而言是蛮方便的，但整体环境和服务绝对配不上四星的标准，早餐尤其差', '短评打分': 1}
{'短评内容': '很一般的酒店，房间很小，装修很旧！！\r\n四星级有点夸张了~~', '短评打分': 1}
{'短评内容': '酒店门前在修路,有些糟乱,出行不太方便,其它各方面还不错.硬件和软件设施还是比较到位的.', '短评打分': 5}
{'短评内容': '设施有些陈旧，卫生做的也不错，服务也还可以，酒店还是很一般的酒店。', '短评打分': 1}
{'短评内容': '位置比较方便，门口乱了点，周围很多红灯区，呵呵', '短评打分': 5}
{'短评内容': '酒店各方面都挺不错的，硬件和软件设施及服务人员的服务都很周到，到位.位置也距离我办事的地点比较近，综合水平比较高.', '短评打分': 5}
{'短评内容': '酒店性价比比较高，而且我每次出差到南昌都是入住这家酒店，服务挺周到的，主要是方便我出行办事.', '短评打分': 5}
{'短评内容': '隔音效果不太好。。。', '短评打分': 1}
{'短评内容': '服务人员还是挺热情的，房间很一般的当时对面还是楼下好像有一个ktv休息的时候是挺吵的，位置比较好找，价格的话还行，总体感觉还是比较一般的酒店。', '短评打分': 1}
{'短评内容': '酒店位置蛮好的，很方便，卫生干净，前台服务人员热情周到，住起来蛮舒服，酒店大堂看起来很气派，但是客房相对陈旧些，价格也能接受，舒适度蛮好。', '短评打分': 5}
{'短评内容': '酒店非常不 错，就是老了点，我 住过3回了。下次去还会住 。', '短评打分': 5}
{'短评内容': '房间较大，电视机不小也显得小了，装修比较陈旧，房内设施一般，矿泉水、面巾纸均无，好在位置不错，周边买东西，打车均方便。', '短评打分': 5}
{'短评内容': '酒店是四星级，但是性价比非常的高，酒店的服务挺到位，而且餐厅也很不错的！交通便利，旅游的车必经此地。酒店靠近南昌火车站，交通便利。附近商业网点较多，购物方便。', '短评打分': 3}
{'短评内容': '这家酒店是四星级，但是性价比非常的高，酒店的服务挺到位，而且餐厅也很不错的！交通便利，旅游的车必经此地。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间面积太小了,两张床之间都没有过道.卫生还行,周边交通还是蛮方便的,价格都是挺实惠的.', '短评打分': 3}
{'短评内容': '酒店靠近南昌火车站，交通便利。附近商业网点较多，购物方便。不过环境有点吵杂，卫生状况也欠佳。不适合纯商务人士的入住。', '短评打分': 5}
{'短评内容': '不错的酒店 老牌酒店了 服务员热情 效率高\r\n   地理位置也不错 市中心 离火车站汽车站都比较近 所以一般朋友来了都推荐住这里 性价比不错\r\n唯一不足的就是硬件设施有待改进', '短评打分': 5}
{'短评内容': '位置很好，卫生间有待改进，厕所坏的。', '短评打分': 1}
{'短评内容': '挺好的酒店，他的环境不错，而且位置很好，交通办事都很发方便。', '短评打分': 5}
{'短评内容': '酒店的交通方便，而且比较清静，感觉很舒服。', '短评打分': 5}
