{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '酒店位置特别好，不管是出行就餐还是购物，便利的没法更便利了！我订的房间临迎泽大街，那~~~么繁华的地角，但不管白天晚上，关上窗户一点点都不吵，窗户是断桥铝的么？隔音隔热效果那叫一个好！离店时把车钥匙忘在房间里了，前台电话追过来确认失主，特别好~~~~~~以后去太原还是首选这家店！', '短评打分': 5}
{'短评内容': '房间空间紧凑，不过地缘位置佳，对面是海外海，请客吃饭方便，房间挺干净的。就是不含早不好', '短评打分': 3}
{'短评内容': ' 酒店商务房环境不错，不过前台账目很乱。', '短评打分': 3}
{'短评内容': '又来住了两天，还不错，以后还会考虑住这里，性价比比较高。', '短评打分': 5}
{'短评内容': '地点很好，也很好打车，就是白天的时候楼下的电器城略吵闹，其他非常好。下次还会住这里。', '短评打分': 5}
{'短评内容': '真得很一般  性价比不高 估计是太原酒店价格普遍偏高的缘故吧', '短评打分': 1}
{'短评内容': '酒店非常不错，干净雅致，每回回太原我都要住这个酒店，离家近，而且还安静，非常喜欢！！望再接再厉，前台的小伙子小姑娘都不错，热情，开朗，非常好！！！', '短评打分': 5}
{'短评内容': '房间很干净，位置也好，', '短评打分': 3}
{'短评内容': '这个酒店交通方便啊，屋里还有大彩电，平板的呀，到太原就住大南门', '短评打分': 5}
{'短评内容': '这个酒店交通便利 被单子白 还有电水壶和遥控电视机 建议增加双早和小食品饮料类 13843082901', '短评打分': 3}
{'短评内容': '环境很好服务也很好位置很好在柳巷边上很方便', '短评打分': 3}
{'短评内容': '酒店很好。环境也很好。以后常来住。', '短评打分': 3}
{'短评内容': '在市中心的迎泽大街上，相当于北京的长安街了，装修不是很新，厕所有小飞虫，但是还是比较舒服，而且离柳巷比较近，逛街方便', '短评打分': 5}
{'短评内容': '很好，位置好，房也新！房间大！下次来还住！', '短评打分': 5}
{'短评内容': '性价比一般！交通方便！', '短评打分': 3}
{'短评内容': '还不错，经济，方便。还不错，经济，方便。', '短评打分': 5}
{'短评内容': '第二次入住，感觉还是非常不错，不过电梯该修了，普单的房间有点小，', '短评打分': 5}
{'短评内容': '酒店不错，都满意', '短评打分': 3}
{'短评内容': '性价比不错，位置好，服务好，干净，清净。住着很舒服的地方', '短评打分': 5}
{'短评内容': '挺不错的，就是早晨的时候有点吵，位置还不错，交通便利', '短评打分': 5}
{'短评内容': '还不错.房间的地板如果再软些就更好了,靠窗有点吵', '短评打分': 5}
{'短评内容': '酒店干净整洁，不错，临街也不吵，电视太挺多，空调也暖和，就是挂衣服的地方小，房间整体空间小了一点', '短评打分': 3}
{'短评内容': '总体感觉不错，前台服务不错，赞一下，但商务间洗簌口杯是纸杯，不是玻璃杯，使用不方便，无擦鞋布，无睡衣；餐厅点餐价格较高；希望改进。对了，金光快捷被锦江之星并购了。', '短评打分': 5}
{'短评内容': '环境很好，很干净舒服，只不过热水系统再好一些就完美了', '短评打分': 3}
{'短评内容': '服务还行啊，硬件待提升！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '我是来续住的，第六天，还行，周围吃饭的地方少，有点吵、！', '短评打分': 5}
{'短评内容': '今第一次入住,地理位置挺好处繁华地段,房间设施也可以,就是房间有些小,挺干净的。', '短评打分': 3}
{'短评内容': '不错挺好。服务值得一提！网速也好勉强过得去！', '短评打分': 5}
{'短评内容': '不错，地理环境也好，交通方便。房间内的环境也挺好。', '短评打分': 5}
{'短评内容': '不错 干净 整洁 设计时尚 就是有点点吵 不过可以忍受 ', '短评打分': 5}
{'短评内容': '很干净，闹中取静，很喜欢，下次来太原还考虑住这儿。', '短评打分': 5}
{'短评内容': '酒店不错，设施齐全、环境干净、前台服务也很周道。总之不错。', '短评打分': 3}
{'短评内容': '地理位置和环境都不错，整洁干净！服务态度好，值得入住。', '短评打分': 5}
{'短评内容': '干净，整洁，交通便利，离火车站、中心商圈非常近。', '短评打分': 5}
{'短评内容': '就是房间有些小，但是在快捷酒店中这样的酒店和价格算是不错的了。', '短评打分': 5}
{'短评内容': '从一开始入住，我就比较满意，290的街景房，干净的设施，前台小伙子们的笑脸，虽然我没有记住他们叫什么，但是我相信，如果下一次入住，我依然会选择他们。我感到温暖！', '短评打分': 5}
{'短评内容': '快捷酒店，环境不错，服务可以，价格稍高，用餐不便', '短评打分': 5}
{'短评内容': '在太原的主干道上有这样的快捷酒店不错，性价比较高，唯一不足就是用餐不能挂房帐，有点不方便！', '短评打分': 5}
{'短评内容': '前几天入住的，性价比相对很高的酒店，有问题都会及时给予回应和解决，出差旅行首选，下次还会选择入住^_^', '短评打分': 5}
{'短评内容': '服务态度很好，希望下次来太原还入住此酒店，我也会向朋友推荐的，真的很不错', '短评打分': 5}
{'短评内容': '虽然比其它快捷酒店价高点，但硬件还可以！就是餐厅用餐不能挂房帐，服务也欠佳！', '短评打分': 5}
{'短评内容': '地理位置很好，距火车站，汽车站，柳巷商业街很近，性价比高，服务热情周到~ ', '短评打分': 5}
{'短评内容': '酒店各个方面都不错，尤其是卫生和服务非常好。', '短评打分': 5}
{'短评内容': '非常不错，地理位置好，服务 卫生 都非常不错，建议入住', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '朋友介绍过来住感觉挺好的.卫生状况很好，服务非常热情  。下次来太原就住这了', '短评打分': 5}
{'短评内容': '酒店性价比很好,干净装饰很舒服,地理位置好,下次还来', '短评打分': 3}
{'短评内容': '酒店离火车站很近，比较方便，性价比相对来说很高推荐入住', '短评打分': 5}
{'短评内容': '酒店服务人员态度非常好，认真的帮我介绍房型及其房价带我看房，很耐心，真不错！', '短评打分': 5}
{'短评内容': '酒店地处迎泽大街，对面即为迎泽公园，频临步行街，最重要的是服务不错，建议入住！', '短评打分': 5}
{'短评内容': '酒店的卫生及其服务都很不错，建议大家去太原时入住这家酒店', '短评打分': 5}
{'短评内容': '酒店位置很不错，位于繁华的大南门,服务非常热情，非常有朝气。卫生挺干净的 ', '短评打分': 5}
{'短评内容': '位置不错，房间卫生非常干净，服务挺好的有种到家的感觉        推荐', '短评打分': 5}
{'短评内容': '酒店服务非常好，卫生干净，睡上去踏实挺好的', '短评打分': 5}
{'短评内容': '酒店位置不错，就在市中心，购物挺方便的，酒店服务员非常热情。房间也挺干净的，', '短评打分': 5}
{'短评内容': '非常不错的酒店，房间面积挺大的足有35平米左右，房间里面干净舒适，前台接待员服务非常热情，非常有朝气。有种到家的感觉。下次来还住', '短评打分': 5}
{'短评内容': '酒店地理位置较好，位于太原繁华地段，离山大一院也近，方便外地人就住，不过，退房时间，比起外地好多酒店显得有缺陷，一般都是中午12点退房，这个点最难受了，要能统一到下午2点就好了，还有就是前台的服务比前几年去得时候差了，没有以前热情跟微笑了。再有就是说一下房卡，经常出问题，动辄就没磁了，我订了两间房，因为房卡原因，往前台跑了3回，不知道是房卡问题还是啥别的问题。总体还较满意吧，希望继续改进。', '短评打分': 5}
{'短评内容': '交通，位置各方面还行，卫生间设置不太科学，门不太好开。', '短评打分': 5}
{'短评内容': '酒店很好找，房间大小也比较满意，干净卫生，网速不错。隔音效果还可以，虽然临马路但是关上窗户后基本听不到外面声音。周围吃饭的地方较少，最近的是几步之遥的太原面食馆，推荐。', '短评打分': 5}
{'短评内容': '不错很好', '短评打分': 3}
{'短评内容': '房间很干净，但是偏小，位置不错，位于繁华地段。', '短评打分': 5}
{'短评内容': '酒店位置很不错，位于繁华的大南门。商务标准间的空间很大，也比较清爽。在太原的同等酒店中，颇具特色。早餐不错，尤其是烙饼味道极佳。美中不足的是楼下有很多手机商场，白天噪音颇大，要午睡就很困难。晚8时后，则非常安静。整体不错，值得推荐', '短评打分': 5}
{'短评内容': '总的来说还不错 快捷酒店的通病 隔音太差 晚上楼道有人走动声音很大 这个价位的话还算可以', '短评打分': 5}
{'短评内容': '卫生状况很好，但是房间偏小。', '短评打分': 3}
{'短评内容': '服务还不错，晚上12点到了，第一间房间有异味，后来给换了一间。\n房间还算干净，门口交通便利，对面有KFC24小时店。', '短评打分': 5}
{'短评内容': '酒店位置不错，距火车站约3-4公里。门口能停车，但是收费。酒店后面有夜市小吃街和山西面食馆。房间及卫生间都很干净。', '短评打分': 5}
{'短评内容': '酒店的地理位置非常好，就在市中心，对面就是迎泽公园，离步行街也不远。房间很干净，住着舒适。酒店附近是手机卖场，只要不开窗，不会觉得很吵闹，隔音效果还是挺不错的。但有一点不太满意的是，现在太原的天气不算很冷，室内更是暖和，而房间却已经没有冷气也没有吹风，很是闷热，无耐要开窗，希望酒店可以变通一下', '短评打分': 5}
{'短评内容': '绝对便利的位置，就在太原市中心的迎泽大街。可能是十一假期吧，前台有点耽搁，等了好一阵才搭理我们。商务酒店来说中规中矩，房间干干净净。', '短评打分': 5}
{'短评内容': '不错，挺好的，地理位置也好', '短评打分': 3}
{'短评内容': '之前听所过，但没敢尝试！这次入住后，感觉比其他快捷酒店的硬件设施要好！房间大，感觉舒适，服务也好！\n下次，还要尝试金广快捷！', '短评打分': 5}
{'短评内容': '住宿环境很不错，标间的床也很大，服务效率很高，挨着柳巷，还能去吃小吃逛街？？ ', '短评打分': 3}
{'短评内容': '房间设施很好，房间也比较大，很干净，下次还会住。', '短评打分': 5}
{'短评内容': '酒店前台接待非常专业，非常热情，客房整洁 舒适 隔音效果挺好的，位置非常不错就在市中心 ', '短评打分': 5}
{'短评内容': '位置非常好，附近很多吃的，酒店设施也很好，很新，推荐入住。', '短评打分': 5}
{'短评内容': '地点好，环境好，只是酒店的停车场不好找，门口的停车场居然收费。下次去还住这里。', '短评打分': 5}
{'短评内容': '整体上不错!有些地方如果能够改进就好了!1,在大厅位置设可以上网的电脑.2,房间缺少擦鞋布.', '短评打分': 5}
{'短评内容': '酒店较新，门口有804可以直接到晋祠，出门左转再左转，走2、3分钟就有太原面馆，可以尝尝当地的特色面食，给个提议，可以在卫生间装个衣帽勾，现在洗澡没有地方挂衣服，步方便。', '短评打分': 5}
{'短评内容': '服务好 房间干净 下次来还住这 服务好 房间干净 下次来还住这 服务好 房间干净 下次来还住这 服务好 房间干净 下次来还住这 服务好 房间干净 下次来还住这 服务好 房间干净 下次来还住这', '短评打分': 5}
{'短评内容': '酒店地理位置不错，房间干净，服务挺好的，购物也挺方便。就在商业街附近 非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高 挺好的 性价比 高', '短评打分': 5}
{'短评内容': '酒店饭菜不是很好，餐厅服务质量有待提高，客房的卫生，服务还不错，停车不是很方便，要绕到酒店的后面，总体来说作为快捷酒店还不错。', '短评打分': 5}
{'短评内容': '金广大南门店和网上说的一样.卫生良好.位置出行方便.但餐厅饭菜口味不佳.', '短评打分': 3}
{'短评内容': '在网上看到许多人反映这家店各方面的条件还不错，所以怀着试试看的态度住了一晚，都还行！就是临街的房间隔音有点差，楼下商场太噪了！', '短评打分': 5}
{'短评内容': '我是从网上查到这个酒店地理位置及其服务都不错才选择入住的这家酒店，入住后才体会到这里服务的非同寻常,我退房那天正下大雨打不上车，恰逢酒店店长在大厅听见后主动将我送至太原火车站，真是太感动了，建议朋友们选择入住', '短评打分': 5}
{'短评内容': '酒店交通便利，就在市中心，打车也很方便，卫生干净，工作人员服务热情，非常周到。下次来太原肯定入住这家酒店。', '短评打分': 5}
{'短评内容': '酒店简洁舒适，物品没有四五星级的酒店全面，但是够用，对我来说，外出住酒店只为稍许休息只用，金广可以了。', '短评打分': 5}
{'短评内容': '环境不错 房间宽敞明亮 复合地板 有特色', '短评打分': 5}
{'短评内容': '位置好，干净，但对自驾游的人来说，停车太不方便，酒店标志不明显，我们转了两圈才找到。', '短评打分': 5}
{'短评内容': '酒店地理位置也好，卫生很干净，设施也好，虽然是快捷酒店的价格，但是享受到了3-4星的服务和设施，值得推荐。服务人员也很热情。赞一个', '短评打分': 5}
{'短评内容': '酒店很卫生，早餐可口，孩子喜欢吃。就是停车要收费，还有我入住的那间不知何故淋浴头喷水太小没办法冲凉，由于时间太晚也就没找前台', '短评打分': 5}
{'短评内容': '位置较好，环境不错。唯一不足的是酒店电梯太慢等待时间太长。', '短评打分': 5}
{'短评内容': '不错 不错 不错  不错  不错  很好\n\n\n      ', '短评打分': 5}
{'短评内容': '交通方便，房间干净，交通方便，房间干净，交通方便，房间干净，', '短评打分': 5}
{'短评内容': '酒店位置好。好找,交通方便。房间也不错。宽敞。早餐要改善。', '短评打分': 5}
{'短评内容': '酒店位置好。好找。交通、餐饮都方便。房间也不错。宽敞。', '短评打分': 5}
{'短评内容': '地理位置很好找，酒店标识也很醒目，我住的是290的商务标间，设施不错，周边交通也很便利，有个太原面食馆，只不过早上不营业，害我白跑一趟，人家太原早上不吃面条哎', '短评打分': 5}
{'短评内容': ' 不错，干净整洁，位置也好', '短评打分': 3}
{'短评内容': '很喜欢房间整洁素雅的风格,地点也不错,很方便!', '短评打分': 5}
{'短评内容': '快捷酒店里还算不错,位置很好,有点像holiday inn express风格', '短评打分': 5}
{'短评内容': '地理位置不错，交通便利，服务人员挺热情的房间也挺干净的，', '短评打分': 5}
{'短评内容': '挺好的。位置不错，服务也还好，后来才知道这是一家由锦江之星控股的快捷酒店，喜欢锦江之星所以喜欢金广快捷。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '各方面都不错  早餐比较单一  其余的没什么需要挑剔的', '短评打分': 5}
{'短评内容': '如果加上早饭就更好了', '短评打分': 3}
{'短评内容': '这是我第二次入住了。感觉挺好！交通便利，对面是迎泽公园，挺好的。', '短评打分': 3}
{'短评内容': '酒店的位置不错，比一般的快捷酒店要显得档次高一些！还是不错的，交通比较方便，如果包括早餐就更加经济了！', '短评打分': 5}
{'短评内容': '。酒店房间干净，接待员脸上笑容缺乏', '短评打分': 3}
{'短评内容': '总的来说还可以，就是贵了点。以后还会再来的。', '短评打分': 5}
{'短评内容': '还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧', '短评打分': 5}
{'短评内容': '可以，交通方便，设施齐全，整洁，缺点是没有早餐', '短评打分': 5}
{'短评内容': '房间很干净，属于很不错的快捷酒店，值得大家来体验一下，我觉得比如家好', '短评打分': 5}
{'短评内容': '我已经入住了，感觉还不错。', '短评打分': 3}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 1}
{'短评内容': '环境卫生很好，服务态度也很好，很喜欢房间里边的装修。下次还会住的。', '短评打分': 5}
{'短评内容': '干净卫生，设施较新，不错的酒店，唯一的不方便的是餐厅不能挂房帐！', '短评打分': 5}
{'短评内容': '服务不错，环境很好，就是房间通风不太好，闷热闷热的。下次还会入住', '短评打分': 5}
{'短评内容': '非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般非常一般', '短评打分': 1}
{'短评内容': '济性价比最好的酒店，干净，安静，服务态度也不错，早餐还可以', '短评打分': 5}
{'短评内容': '去之前就订好了，酒店交通环境都不错,装修也够新', '短评打分': 5}
{'短评内容': '不错！办了张会员卡，很划算！', '短评打分': 3}
{'短评内容': '店很新，设施也不错。设计风格比较新颖，感觉总体价格还不错', '短评打分': 5}
{'短评内容': '酒店很干净，位置很好，设施到位，就是隔音不好；新酒店，员工能看出来有股朝气，就是有些训练不足，早晨起来，我还光着身子在洗澡，就有服务员敲了一下门，就开门进来，吓了我一跳，一边敲一边开，幸亏喝止了，要不春光外泄了。我住632房间，昨天退的房，建议加强管理和训练。', '短评打分': 5}
{'短评内容': '酒店还是可以的，前台有个戴眼镜的姑娘态度也挺好，可是有个不戴眼镜的5号服务员，一张苦瓜脸，好像人家欠它钱一样，不能好好说话啊？！', '短评打分': 1}
{'短评内容': '挺好！', '短评打分': 3}
{'短评内容': '位置好、交通方便，酒店装修还可以，缺点是无餐厅。', '短评打分': 5}
{'短评内容': '不错，位置很好 房间设备也新 下次还会住', '短评打分': 5}
{'短评内容': '总体还不错，暖气有点不足。服务态度挺好，帮忙订车还指导我们侃价。房间使用面积也就十八平左右', '短评打分': 3}
{'短评内容': '蛮好的 干净卫生 交通便利 价位合适 下次还会入住', '短评打分': 5}
{'短评内容': '实在太难打车了！真的太难了!房间还是蛮好的！', '短评打分': 5}
{'短评内容': '地点是很方便啦，附近小吃也不少，房间不大，靠外面的房间光线好，不过有点吵，下面有手机卖场放音乐！', '短评打分': 5}
{'短评内容': '很好很干净跟新很舒服', '短评打分': 3}
{'短评内容': '第三次入住了，地理位置好，在打车很难的太原，在这里坐公共汽车和方便的', '短评打分': 5}
{'短评内容': '在就近办事，入住挺方便的！周围比较热闹，手机市场。', '短评打分': 5}
{'短评内容': '服务不错，不过吃饭是个问题。周围环境不错。', '短评打分': 5}
{'短评内容': '设施新，干净卫生，还不错，只是餐厅不能挂房帐，不太方便。', '短评打分': 5}
{'短评内容': '不错，位置很好,服务也很不错，就是房间面积不是很大。', '短评打分': 5}
{'短评内容': '住过很多次了，觉得各方面还是不错的，交通方便啊。向大家推荐一下。', '短评打分': 5}
{'短评内容': '酒店不错，位置很好。办事方便。房间很干净。', '短评打分': 5}
{'短评内容': '酒店位置不错，价格也还合适，因为地处繁华地带，价格比其它地方贵。但房间不错。 ', '短评打分': 5}
{'短评内容': '地段不错，房间算干净，设施稍微简单了点，周围小吃很多', '短评打分': 3}
{'短评内容': '位置很好，很方便，新开业，价位在太原算不错，很好。可以房间的灯光太暗了。。。', '短评打分': 5}
{'短评内容': '很干净，下次还住', '短评打分': 3}
{'短评内容': '交通方便，房间干净，和迎泽公园距离近是我喜欢的酒店', '短评打分': 5}
{'短评内容': '酒店的服务和配套设施很一般 ', '短评打分': 5}
{'短评内容': '位置不错，去哪都方便，装修也不错，干净还带点小豪华，就是服务员态度不怎么样，看不到笑容，总体不错。', '短评打分': 5}
{'短评内容': '隔音一般，服务好，也就一般的快捷酒店，不像所说的四星标准装修', '短评打分': 5}
{'短评内容': '临街有点吵，如果是标间靠里面应该还好.总体来说还是可以的。', '短评打分': 5}
{'短评内容': '入住的第二个晚上，半夜醒来发现停电了，不知什么原因。只好摸着上厕所了，但早上醒来还没电，什么都看不见，而且定好了是早上出发，只好靠手机的亮光走下楼退的房，还好房能退。', '短评打分': 3}
{'短评内容': '该酒店就是原来的唐明酒店，但是新近装修的，还不错。就是早餐管理的不好，必须得用现金结帐，不能挂单。', '短评打分': 5}
{'短评内容': '本来想找个离高速近点的，结果给我推荐到了市中心，正好遇上堵车，下了高速开了快1个小时才到。不过周边环境还不错，可惜我只是休息一晚。\n酒店比较干净，不过房间偏小。', '短评打分': 1}
{'短评内容': '酒店南面即是迎泽街，交通极为方便，只是难免会有都市的喧闹声。', '短评打分': 3}
{'短评内容': '酒店硬件设施很好，房间宽阔，干净，舒适。卫浴设施现代化，隔音效果也不错。最值得提的是，服务相当的好，热情周到。总之性价比很好，值得一去。美中不足的是该酒店临街，预定时最好注明要不临街的房子。', '短评打分': 5}
{'短评内容': '感觉还不错,房间稍小点。', '短评打分': 5}
{'短评内容': '就店环境和内饰都不错。', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '住宿条件不错，服务还可以，距市中心还有点距离,不像网上说的那么方便。', '短评打分': 3}
{'短评内容': '还好，比较方便地点，价格还可以吧，推荐一下好了', '短评打分': 3}
{'短评内容': '服务很好，酒店很干净。值得推荐。', '短评打分': 5}
{'短评内容': '+还不错，位置好。能跟上延时退房的趋势就好了', '短评打分': 5}
{'短评内容': '環境不錯挺方便的地方\r\n有去太原玩可以去住住\r\n', '短评打分': 3}
{'短评内容': '.酒店清洁.舒适.但价格有些偏高', '短评打分': 5}
{'短评内容': '房间很不错，我这是第二次住了。只是打车去火车太不方便了！\n', '短评打分': 3}
{'短评内容': '位置不错，距离迎泽公园比较近，配套条件不错。', '短评打分': 5}
{'短评内容': '不错，卫生，网速1M，敢不敢上2M啊，看电影还卡，周边环境好，服务员态度好点更好。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '基本还可以。。。。感觉有点贵。。。服务也一般。。。', '短评打分': 5}
{'短评内容': '朋友帮忙定的，原来还有些担心。入住以后才感觉各方面都还不错。以后还会再来，也会介绍朋友来！', '短评打分': 5}
{'短评内容': '地理位置方便，可远眺迎泽公园；店内条件还不错，值得推荐 \r\n', '短评打分': 3}
{'短评内容': '酒店整体感觉不错,干净整洁,服务也不错,下次还会住', '短评打分': 3}
{'短评内容': '工作人员的服务态度很好，只是中央空调不太好用。', '短评打分': 5}
{'短评内容': '地理位置方便，可远眺迎泽公园；店内条件还不错，值得推荐', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错,干净,设备新,只有房间有点小,无所谓了,总体很好.', '短评打分': 1}
{'短评内容': '十四岁', '短评打分': 5}
{'短评内容': '地點佳(距離火車站、五一廣場、迎澤公園、柳巷步行街、省博物館都適中)，服務人員態度良好，比價性高。有機會再拜訪美麗的太原市時，會再入住。', '短评打分': 5}
{'短评内容': '卫生条件不错，交通也很便利', '短评打分': 5}
{'短评内容': '很好,很满意下次去太原还是首选', '短评打分': 5}
{'短评内容': '虽然和国贸分店价格相差40元但是明显不是一个档次，大南门店位置很好，就在迎泽公园斜对面，去柳巷也方便，房间干净时尚网速很快，主楼后面的停车场对于一个快捷酒店来说已经不算小了，很方便啦！因为路线不熟屡次三番电话咨询，前台的服务生又耐心又有礼貌，不错不错！', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间蛮干净的，设施比较齐全，服务一般，其他都还好', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间干净，设施齐全，服务到位，下次还会住。', '短评打分': 5}
{'短评内容': '房间小不过住起还是挺舒服温馨的,硬件和卫生条件还不错.综合水平挺高的,性价比也很好.', '短评打分': 5}
{'短评内容': '就是一般的快捷酒店，交通挺方便，就是停车不方便。', '短评打分': 3}
{'短评内容': '就在市中心两大主干道交叉口，很好找，走了3分钟去边上的老字号面馆吃了个面。', '短评打分': 3}
{'短评内容': '房间设施不够现代，感觉一般，不过位置很好。', '短评打分': 1}
{'短评内容': '位置正好在太原主干道迎泽大街和解放路交口，斜对面是迎泽公园，挨着太原很有名的太原面馆和联通大厦。\r\n房间整体很整洁，只是在地上发现几缕头发。因为地面不是纯色的，颜色也深，作卫生的人不容易打扫干净我想。\r\n服务态度总体还不错。\r\n', '短评打分': 5}
{'短评内容': '位置好，设施好，交通便利，房间舒服。卫生间很漂亮，房间里的吹风机没什么用就不要放置了，免得退房时查房耽搁时间。', '短评打分': 3}
{'短评内容': '地理位置优越，卫生设施良好，服务到位，就是价格稍高，希望能更加优惠些。', '短评打分': 5}
{'短评内容': '酒店位置还行，环境也不错。挺满意的。', '短评打分': 1}
{'短评内容': '前台服务态度不太热情，店员说话面无表情，有点冷漠的感觉。', '短评打分': 3}
{'短评内容': '基本上还不错，尤其是卫生较好，地理位置也不错。', '短评打分': 5}
{'短评内容': '到各點都挺方便  酒店設備性價比高 推薦', '短评打分': 5}
{'短评内容': '金广酒店大南门店,住宿环境非常好,地理位置繁华,停车方便,建议增加分店数量,多面发展。', '短评打分': 5}
{'短评内容': '服务态度很差的当时退房的时候还闹了一点不愉快服务态度很差，房间卫生和设施都还不错，离火车站也很近，价格还算比较合适。但是就是服务很不好，很一般。', '短评打分': 1}
{'短评内容': '交通挺方便的  房间也还不错 ', '短评打分': 5}
{'短评内容': '很不错的酒店，交通方便，卫生不错，很干净，服务员态度也很热情周到，性价比蛮高，不错的酒店。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通方便，卫生干净，设施维护的相对不是太好，房间的门锁是坏的，打了半天才开开，服务一般，性价比还可以。', '短评打分': 5}
{'短评内容': '条件不错，服务部行', '短评打分': 5}
{'短评内容': '酒店的位置很好，不过门口不是很醒目。\r\n后院有自己的停车场，不错。\r\n内部设施也不错，床和枕头也很舒服。\r\n卫生间和淋浴间是全透明的，如果不是夫妻或情侣入住的话可能会有些尴尬。洗澡水不太热，希望以后可以改进。', '短评打分': 3}
{'短评内容': '酒店的位置很好，不过门口不是很醒目。\r\n后院有自己的停车场，不错。\r\n内部设施也不错，床和枕头也很舒服。\r\n卫生间和淋浴间是全透明的，如果不是夫妻或情侣入住的话可能会有些尴尬。洗澡水不太热，希望以后可以改进。', '短评打分': 5}
