{'descr': '便宜', 'star': 3}
{'descr': '房间不大，但是很温馨，也很干净。房间里的设施也比较齐全', 'star': 5}
{'descr': '地方满干净的，无线网络速度也不错。没有早餐，房间里没找到梳子。装饰很可爱。衣架少了点。总体可以给3.5星。', 'star': 5}
{'descr': '一切都挺好，就是没有梳子，暖气很好，很给力', 'star': 3}
{'descr': '卫生比较好就是面积太小，四楼房间不好找标示牌太少！', 'star': 5}
{'descr': '一如既往的好，现在比以前更加完善了，价格很实惠，边上也有小吃，干净整洁，十分推荐~', 'star': 5}
{'descr': '经济实惠，就是隔音不行。。。。。。。。。。。。', 'star': 5}
{'descr': '位置还可以，比较好找，跟前就是商业街。就是小吃还没找到', 'star': 5}
{'descr': '经济实惠，但就是隔音效果不行，～～～～～～～～', 'star': 5}
{'descr': '住的舒适   服务态度好  更兼有免费台球和网吧   是您正确的选择', 'star': 5}
{'descr': '一个人住，蛮方便的一个小窝。。就是公交车有点距离，不过打的是相当的方便。。。', 'star': 5}
{'descr': ' 旅馆很舒服很温馨 价格也很好 便宜', 'star': 3}
{'descr': '还不错吧~就是隔音效果一般般、其他的都还不错！', 'star': 5}
{'descr': ' 住着是挺好的，就是房价浮动太大了，今天还只要几十元一天的房间，明天就变成一百多了，希望价格能稳定些。', 'star': 3}
{'descr': '一个人出差，选择这里性价比蛮高，干净整洁', 'star': 5}
{'descr': '很温馨，就是没有洗漱用品和拖鞋，其他都感觉不错', 'star': 5}
{'descr': ' 住着很好，价格也实惠，就是房间即使在四楼，还是没窗户，空气不太好。', 'star': 3}
{'descr': '酒店总体不错，主要是价钱便宜，不管是出去办事还是旅游总归是有个睡觉的地方就可以了，汉庭海友客栈客栈完全满足你的需求，房间虽然小点但也是五脏齐全，还有个小窗户。。。而且二楼还可以免费上网、打乒乓球、台球，我觉得和价格比起来，还是非常实惠的。不过就是稍微偏了点，定好以后要打电话问清楚路线，以免走错，祝大家有一个愉快的旅行。', 'star': 5}
{'descr': '我住的感觉还可以，虽小但温馨，下次来办事还会考虑入住！', 'star': 5}
{'descr': '酒店还不错，住的也还舒服，值得推荐，就是房间小了点，路边有点吵!', 'star': 5}
{'descr': '酒店位置有点偏，但价格挺实惠，东西齐备，房间小了点！', 'star': 5}
{'descr': '条件很好！很不错！周边就有商场和小吃店！', 'star': 5}
{'descr': '汉庭海友上园大街店 住的很舒心', 'star': 3}
{'descr': '客栈还好,位置有点偏，服务态度很好,洗淑用品少.这样的价格,值得推荐.\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '卫生还好，隔音太差，还有不是很好找，周围商圈不多', 'star': 5}
{'descr': '很好，尤其适合放松身心的旅游。3日又住了一晚。', 'star': 5}
{'descr': '环境不错价格也公道', 'star': 3}
{'descr': '酒店房间比较小，但该有的设施都有了，现在也提供免费的洗漱用品，如洗发水、搽脸油、浴巾、口杯、手纸；房间很干净；24小时热水很稳定；房间内免费无限宽带也很好；服务生很有礼貌，递送票据都是双手；房间服务员也主动来换洗漱品。周边有超市和小饭店，但最好步行8分钟，到江宁体育馆那里（好像是叫女人街），吃饭、买日用品才方便且价钱实惠。不足：中央空调不是很给力，空调噪音蛮大；交通虽然便捷，但离主城还是比较远。', 'star': 5}
{'descr': '客房很干净，服务态度很好，价廉物美，不错！', 'star': 3}
{'descr': '格林联盟酒店不好,以后还是住格林豪泰自己的酒店吧。', 'star': 3}
{'descr': '还不错，实惠，服务业不错。。。三楼还有休闲的地方。。。', 'star': 5}
{'descr': '酒店布置的很温馨，很干净，服务态度也好，房间不是很大，但住着挺舒服。洗漱用品得自己带，不过也可以买，地方不怎么好找，我找了半天，呵呵 总体不错 值得推荐。', 'star': 5}
{'descr': '很不错，服务态度好', 'star': 3}
{'descr': '工作人员非常热情友好,交通方便，到外滩很方便', 'star': 5}
{'descr': '厕所太老，还有就是马桶上面是淋浴的，感觉很怪，上面是淋浴头，下面是很老的厕所，都不好站立。太差了', 'star': 1}
{'descr': '房间很好', 'star': 3}
{'descr': '价格公道，环境不错，但是遥控器不知怎么回事，不工作了', 'star': 5}
{'descr': '  感觉挺舒服的，不过马桶旁边容易积水', 'star': 3}
{'descr': '还好，环境一般！', 'star': 3}
{'descr': '替朋友订的，朋友说条件不好，房间小，交通不是很便利，设施陈旧', 'star': 1}
{'descr': '连浴巾都没有', 'star': 3}
{'descr': '非常不错', 'star': 3}
{'descr': '环境还好，就是没有提供免费的洗漱用品，很不方便！！！榻榻米的空间比较狭小，尤其是卫生间，实在不方便，其他方面还可以，追求不高的旅客可以尝试一下！', 'star': 1}
{'descr': '不错哦，环境什么的都挺好，没有预见的那么吵，晚上和老婆睡的很少，适合旅行居住~', 'star': 5}
{'descr': '109和119的房间基本是差不多的，区别就是多个小窗子。没多大意思', 'star': 5}
{'descr': '环境还可以 房间小，床小。里面不提供洗漱用品', 'star': 5}
{'descr': '嘿嘿，环境还是不错吧，特别适合青年人，呵呵不错的', 'star': 5}
