{'短评内容': '房间设施安静，干净舒适，去机场五分钟，特方便', '短评打分': 5}
{'短评内容': '好，一个字好。好，一个字好。好，一个字好好，一个字好好，一个字好好，一个字好好，一个字好好，一个字好', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 3}
{'短评内容': '在中餐厅等了10分钟，没人来招呼我们，我想说的是 Your service are just as terrible as shit.', '短评打分': 1}
{'短评内容': '值得信赖有酒店……环境、设备都是不错的，菜肴味道好', '短评打分': 5}
{'短评内容': '酒店很新，房间非常不错。建议早餐能再提早一点，当天8点的飞机，6点半酒店才提高早餐，只能随便吃一下。', '短评打分': 5}
{'短评内容': '住了两天，整体环境确是名副其实的五星标准！大堂够气派，房间很宽敞，视线较好，看出去刚好是酒店的别墅区。早餐品种很丰富，味道不错。最方便的是离机场很近，酒店有专车接送。下次来温州还住这家酒店。 ', '短评打分': 5}
{'短评内容': '此次住的高级房，就是在角落里，房间里的方便面不好吃，饼干也不好吃，建议更换，网速慢点，不如以前了，以前住下载速度达1Mbps，现在200kbps差太多了', '短评打分': 5}
{'短评内容': '0满意', '短评打分': 5}
{'短评内容': '.......................................................................................', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '车停在停车场被蹭了，酒店不承认，而且餐厅吃饭的费用不能计在房费里，要单算，感觉服务跟不上', '短评打分': 1}
{'短评内容': '不错，住了很多次，龙湾区目前最好的了', '短评打分': 5}
{'短评内容': '酒店距离机场比较近.每次到温州都会住这家酒店.性价比很高.而且服务也很周到.', '短评打分': 5}
{'短评内容': '设施很简单房间也很小配不上五星级的标准，位置很偏很偏出行特别不方便，价格也很贵，房间的卫生都还不错，但是位置和设施确实很差。', '短评打分': 1}
{'短评内容': '离机场很近，很方便', '短评打分': 5}
{'短评内容': '还可以吧！这个地段，这个价格，毕竟算5星', '短评打分': 5}
{'短评内容': '很好，就是位置太偏，离机场倒是很近', '短评打分': 5}
{'短评内容': '离机场近，很方便', '短评打分': 5}
{'短评内容': '我感觉是离温州机场最近的星级酒店了。不错的。', '短评打分': 5}
{'短评内容': '酒店性价比还不错', '短评打分': 5}
