{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户很好 就是没窗户', '短评打分': 5}
{'短评内容': '空间瞒大!', '短评打分': 3}
{'短评内容': '还可以，就是房间没想象中大', '短评打分': 3}
{'短评内容': 'henhaophenhaophenhaophenhaophenhaophenhaophenhaophenhaophenhaophenhaop', '短评打分': 5}
{'短评内容': '此处由于地理位置优越，开车南下北上都方便，不必进繁华地段，遭遇堵车之苦，此处为定点酒店。只是前台接待的服务有待提高，对客人不够热情。缺少礼貌用语。', '短评打分': 5}
{'短评内容': '交通方便，每次都要住这，小环境也不错，后院有停车场。', '短评打分': 5}
{'短评内容': '挺好，住了1天，继续住这了。这是常住地了。', '短评打分': 5}
{'短评内容': '＋酒店卫生、舒适度还可以，但是前台接待的态度有待改进', '短评打分': 3}
{'短评内容': '挺干净的  非常不错，就是稍微偏一点，早餐不错', '短评打分': 5}
{'短评内容': '其实我每次到滨州都是住这个宾馆的，但这次给我安排的房间太糟糕了，就在电梯旁边，而且还不隔音，到了晚上十一点还很清楚听到电梯上下的声音。', '短评打分': 5}
{'短评内容': '环境不错，后院有停车场，隔壁有小肥羊火锅。有好吃的，又没油烟味。卫士间的洗手液不错，比一般酒店的肥皂好，有好用又节约。', '短评打分': 5}
{'短评内容': '比较干净和舒适   就是价位有点偏高 而且房间喝水还收费', '短评打分': 5}
{'短评内容': '很干净，很舒适', '短评打分': 3}
{'短评内容': '还算不错~~只是隔音效果差一些，墙壁貌似是木板隔断，半夜能听到隔壁的呼噜声和有些让人尴尬的声音。其他都还好~~服务态度也不错。', '短评打分': 5}
{'短评内容': '服务态度非常好~~~就是附近吃饭地方少一点，旁边有个涮肉，再就是远点有个水饺店。非市中区 较安静~~~', '短评打分': 5}
{'短评内容': '环境卫生都不错，由于汽车站搬迁，交通不是很方便', '短评打分': 5}
{'短评内容': '不咋地！环境不好，周围漆黑一片。不管早饭，没有任何可留恋之处。', '短评打分': 1}
{'短评内容': '就是没有电脑，电脑房还得加钱。\n别的还行。', '短评打分': 5}
{'短评内容': '我去的时候竟然没有给我留我预定的房间！太郁闷了！', '短评打分': 1}
{'短评内容': '酒店不错，很干净，经济实惠，位置也挺好。', '短评打分': 3}
{'短评内容': '偶尔出差去那边，感觉服务还可以，交通也便利，下次还去。', '短评打分': 5}
{'短评内容': '来到之后发现！！！木有房了！！真生气！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店很好,房间很大', '短评打分': 3}
{'短评内容': '感觉还不错。蛮干净的。就是觉得交通不是特别的方便。。，，，', '短评打分': 5}
{'短评内容': '这是我去滨州必住的一个酒店，因为滨州当地这家还算是不错的一家', '短评打分': 5}
{'短评内容': '很好,很不错...值得推荐...顶起来,继续保持...', '短评打分': 3}
{'短评内容': '很不错的 交通很方便 也很安静 下次去还住那里 ', '短评打分': 5}
{'短评内容': '屋子里应当配备个电脑，只有网线，有点太单调了，不是每个人出来都会带着笔记本的嘛，还有就是屋子里至少要有两个凳子吧，这个方面希望可以增加一个。\r\n其他的方面很满意，服务态度很好，卫生环境都很好，地理位置也不错。值得推荐。', '短评打分': 5}
{'短评内容': '去的时候没有大床房了，前天免费给升了商务房，感觉很好', '短评打分': 5}
{'短评内容': '物超所值的一个酒店，无论位置，还是服务，还有房间，都很不错。', '短评打分': 3}
{'短评内容': '很不错的很不错的很不错的很不错的很不错的很不错的很不错的很不错的很不错的很不错的很不错的', '短评打分': 5}
{'短评内容': '位置还算不错，不管是不是中心地区，反正离我要办事的地方比较方便，超值的价格，住到这样的房间，不贵了，很不错了。', '短评打分': 5}
{'短评内容': '还不错呢。。。住了两晚，很干净。就是交通不方便。。。。服务很好', '短评打分': 3}
{'短评内容': '感觉很不错。就是那个交通不是很方便。。。。但是住的环境很好，很干净。不错。', '短评打分': 3}
{'短评内容': '整体都是很好，这已经是我第四次入住了，特别是枕头休息很舒服，不过就是房间隔音不是太好，我一般办公到很晚才休息，早上走道里服务员说话都听得很清楚，希望酒店看是否可以改善下这种情况。\r\n早餐暂未享用过，故无法评价。\r\n谢谢', '短评打分': 5}
{'短评内容': '再提醒一点就是，注意银座佳驿酒店的饮用水的消费陷阱\r\n首先，并不是什么纯净水，那水和自来水的味道没有什么区别；其次瓶子并没有密封，在前台结账的时候说我消费了一桶水，然后我直接说这根本就不是什么纯净水，而且瓶子并没有密封，前台说水送来就是这样的。呵呵，会吗？厂家送水瓶子不密封吗？而且瓶子很破旧吗？所以后来我直接说如果这样，那么直接拨打12315，让他们来处理一下，结果他们什么都没有说。\r\n所以提醒大', '短评打分': 3}
{'短评内容': '这位置真的不是一般的偏僻啊~早知道我就不换酒店了~~之前住的是黄河二路的和家饭店，然后因为今天有点事情，所以就换到了这里，发现这里真的位置好偏~~而且酒店只有早餐（是自己购买，不是免费的早餐），没有午餐和晚餐~~还有目前网上预定和家饭店也才126（含早哦~而且和家饭店的餐厅是小背篓，以菌为主打），而且和家饭店的地理位置也不错~~所以不论是对于公费还是自费的人来说，这里都不是首选~个人意见仅供参考', '短评打分': 1}
{'短评内容': '性价比很高，早餐涨价啦，哈哈，总体还是不错的', '短评打分': 5}
{'短评内容': '卫生环境很好，在滨州也算不错的了 。。性价比很高', '短评打分': 3}
{'短评内容': '挺不错的。。卫生很好。性价比很高。不过地方有点偏', '短评打分': 5}
{'短评内容': '这个酒店吧其实还不错，很干净的呢、但是位置不是特别好.....................', '短评打分': 5}
{'短评内容': '宾馆的条件在滨州一斤算可以了，不过设备有点稍微的旧，还过得去，对了，酒店用的是地毯 不是普通快捷酒店的 地板', '短评打分': 3}
{'短评内容': '总体来说很不错，只是位置应该变一下，车站都搬走了，再过去住就太远了点，希望能在车站旁边再开一家。', '短评打分': 5}
{'短评内容': '性价比不错，位置也可以，服务很好啊，下次去继续住', '短评打分': 5}
{'短评内容': '交通便利，我到滨州一般就住该酒店，主要考虑是停车方便，周围很安全。', '短评打分': 3}
{'短评内容': '位 非常置好,交通方便,停车安全,房间环境舒适.', '短评打分': 5}
{'短评内容': '房间比较大，靠近市中心，价格比较便宜，以前靠近车站，现在车站到郊区了，所以提前在渤海五路下车。', '短评打分': 5}
{'短评内容': '很干净  很不错  性价比也可以', '短评打分': 5}
{'短评内容': '环境不错，很干净，性价比挺高的。就是窗子很小，室内灯光有点暗。离银座比较近，吃饭购物都很方便。', '短评打分': 5}
{'短评内容': '服务很好，就是怎么有的出租车司机找不到呢，有点郁闷了，建议在出租车上做点宣传吧，“银座佳驿提醒您XXXX”哈哈', '短评打分': 5}
{'短评内容': '整体挺好，但就是位置比较偏，从汽车站到这边要很久', '短评打分': 5}
{'短评内容': '整体不错，但就是位置太偏了，从汽车总站那边过来太远了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大，设施也很人性化。', '短评打分': 5}
{'短评内容': '还可以的，性价比高', '短评打分': 5}
{'短评内容': '在滨州来说算可以的了，挺干净，就是设施我觉得有些旧了', '短评打分': 5}
{'短评内容': '性价比很高，位置稍微有点儿偏', '短评打分': 3}
{'短评内容': '房间很大，很安静，设施不错，性价比很高。', '短评打分': 3}
{'短评内容': '房间很大，也比较安静，设施也不错，很人性化，性价比高。', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '和所有的佳驿一样，服务卫生都不错，房间也挺大，性价比很好', '短评打分': 5}
{'短评内容': '去的时候电梯坏了，要从一个很恐怖的楼梯上去，特别是晚上，连灯也没有，很恐怖，不过相信也就这一次了，下次不会这么背吧', '短评打分': 5}
{'短评内容': '房间很大很干净，卫生不错，总体很好', '短评打分': 5}
{'短评内容': '价格非常合适，值得推荐，卫生还不错，适合自费旅行入住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间很大，设施一般', '短评打分': 3}
{'短评内容': '虽然大，但是比较旧，床铺不舒服', '短评打分': 1}
{'短评内容': '酒店不错，就是有点旧了', '短评打分': 3}
{'短评内容': '酒店价格便宜，而且地理位置不错，交通比较便捷，只是餐厅只能供应早餐', '短评打分': 5}
{'短评内容': '强烈推荐该酒店，性价比非常高，服务，位置也都很好。', '短评打分': 5}
{'短评内容': '硬件条件不错，就是服务差了点，我说再要卷卫生纸竟然说是限量。还没遇到过这样的。', '短评打分': 5}
{'短评内容': '酒店非常不错下次还会去', '短评打分': 5}
{'短评内容': '住了两天，网速很快', '短评打分': 5}
{'短评内容': '房间挺大的。挺干净的。卫生间也挺大的。唯一不足就是房间窗户太小。还有前台人员的业务不熟练，办个入住等了好长时间。', '短评打分': 3}
{'短评内容': '住过很多次了，下次还是会选择住在这里', '短评打分': 5}
{'短评内容': '价格还可以，位置也还不错。不过就是可惜周围可吃饭的地方太少了，这个很遗憾。', '短评打分': 5}
{'短评内容': '我住的是商务大床房，房间挺大的，也挺舒适干净，感觉唯一有点不足可能是电视机有点小，另外一开门就能看见床，有点不太好的感觉，如果门旁边放个衣柜之类的遮挡一下，或者是门在另一侧开启比较好。', '短评打分': 5}
{'短评内容': '真的不错，性价比很高', '短评打分': 5}
{'短评内容': '整体性价比较好', '短评打分': 5}
{'短评内容': '隔音效果似乎不太理想', '短评打分': 5}
{'短评内容': '很干净，很整齐，下次去还要住那', '短评打分': 5}
{'短评内容': '环境非常不错，最喜欢的是卫生间跟写字台，很有家的感觉', '短评打分': 5}
{'短评内容': '在滨州，还是很好的，价格不贵，网速特快，下载可达2M,有人说可以达8M，没有见过。早餐也不错，符合北方人的口味。住过3晚上。比*家要好，据说那里的网速慢的很，早餐也不咋地。要是这个酒店在全国都这样就好了', '短评打分': 5}
{'短评内容': '网速超级快', '短评打分': 5}
{'短评内容': '房间的电视频道很少基本没得看,保洁做的不好,服务很一般.设施简陋,位置还不错.性价比一般', '短评打分': 3}
{'短评内容': '网速很快，房间很干净，设施也非常新，整体感觉不错，离汽车站很近。', '短评打分': 5}
{'短评内容': '酒店的硬件设施还不错，但是服务有点不好，我们预定的房间到入住的时侯说有人刚刚住进去。', '短评打分': 5}
{'短评内容': '不错，再住还住这个酒店', '短评打分': 5}
{'短评内容': '离现在的滨州汽车站很近，步行不过5分钟，非常方便。设备很新，性价比很高，只是在房间隔音上有所不足，该是装修所用的不是隔音材料吧。', '短评打分': 5}
{'短评内容': '是个性价比很好的酒店 所有的设施都是新的，交通也十分的方便房间卫生很好。网速极快，下载速度快时可达8M\r\n还应该进的地方：淋浴的水不够热，靠近电梯间的房间隔音不好，前台的服务员业务不够熟练，希望能够有所改进。', '短评打分': 5}
{'短评内容': '前台服务超级好！', '短评打分': 5}
{'短评内容': '卫生挺干净，也挺安静的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的环境很好，服务觉得效率不高，办理入住时时间长，价格还是可以的', '短评打分': 5}
{'短评内容': '卫生间下水道不通~服务态度一般&#183;', '短评打分': 5}
{'短评内容': '卫生和服务都不错，因为是新开的酒店，环境要比其他的好，卫生间非常的整洁。服务也很周到，隔音效果稍微不算好！', '短评打分': 5}
{'短评内容': '我觉得酒店挺不错的，硬件设施和环境卫生都还不错，交通也挺方便的。', '短评打分': 5}
{'短评内容': '酒店刚刚开业不久,房间里的设施挺新的,卫生弄的也好,住着挺舒服的,价格也不算贵.', '短评打分': 5}
{'短评内容': '感觉各方面都不错，房间挺大的，卫生也挺好，值得推荐', '短评打分': 5}
{'短评内容': '卫生间排水不好 房间隔音差', '短评打分': 1}
{'短评内容': '我是4月20号入住的。这个酒店是家新开的，硬件设施都不错，房间很大，甚至都觉得有一点空旷。但是美中不足的是服务还不到位。我有事情叫服务员到房间来一趟，给前台打了两次电话，最后还是没有到。因为业务关系，我打了不少国内长途电话，但是在电话清单上，实在不明白是如何计费。整个前台员工都不清楚房间电话打外线是如何收费的。\r\n这两点很是遗憾！', '短评打分': 5}
